number,name,address,bike_stands,available_bike_stands,available_bikes,latitude,longitude,last_update,status,ligne_tc
85,085-BEL AIR,"102, rue Paul Bellamy",14,7,7,47.2263944309861,-1.56002281967663,2023-06-19T14:30:55+00:00,OPEN,12 - 23 - C2 - LO
79,079-MALAKOFF,"15, quai de Malakoff",15,7,8,47.213395,-1.536954,2023-06-19T14:30:02+00:00,OPEN,54
120,120-ROND-POINT DE PARIS,"16, boulevard Jules Verne",30,19,11,47.234853,-1.534981,2023-06-19T14:30:49+00:00,OPEN,C1
4,004-MOULIN,"18, rue du Moulin",15,14,1,47.2166675820152,-1.5543847138777,2023-06-19T14:31:06+00:00,OPEN,
124,124-PAS ENCHANTÉS,Boulevard des Pas Enchantés - SAINT-SÉBASTIEN-SUR-LOIRE,25,10,15,47.205239,-1.522726,2023-06-19T14:30:06+00:00,OPEN,
13,013-BRETAGNE SUD,"3, rue Pierre Chereau",20,20,0,47.216787949913,-1.55916106661899,2023-06-19T14:30:15+00:00,OPEN,3
5,005-BROSSARD,"12, Allée Duquesne",18,13,5,47.2188372304694,-1.55674926307655,2023-06-19T14:29:22+00:00,OPEN,12 - 23 - C2 - LO
38,038-RICORDEAU,Place Alexis-Ricordeau - Chaussée de la Madeleine,40,3,17,47.2121084631418,-1.55304912932047,2023-06-19T14:28:57+00:00,OPEN,2 - 3 - 54 - C2 - C3 - LC - LS - NA
3,003-STRASBOURG,"4, rue des Carmélites - Place Tirant Lo Blanc",15,14,1,47.2164797718207,-1.55154060534636,2023-06-19T14:27:48+00:00,OPEN,
43,043-MACHINE DE L'ÎLE,"3, boulevard Léon Bureau",36,19,17,47.206918958696,-1.56480679078299,2023-06-19T14:28:06+00:00,OPEN,
84,084-RÉGION,Rue de la Loire - place Gaston Defferre,22,15,7,47.2107421421814,-1.52593345192508,2023-06-19T14:28:45+00:00,OPEN,26
31,031-BOURSE,Allée de la Bourse - Boulevard des Nations-Unies,22,15,7,47.2120830307532,-1.55908655123987,2023-06-19T14:27:29+00:00,OPEN,NA
117,117-MAIRIE DE CHANTENAY,Place de la Liberté,15,9,6,47.20656,-1.58785,2023-06-19T14:29:06+00:00,OPEN,10 - 11 - LO
19,019-SAINT SIMILIEN,"1, place Saint Similien",15,14,1,47.21985446733,-1.55892089047478,2023-06-19T14:28:12+00:00,OPEN,
55,055-MAGELLAN,"11, rue de Belfort",17,10,7,47.2107814065594,-1.54429847094521,2023-06-19T14:29:20+00:00,OPEN,
53,053-OLIVETTES,"10, rue des Olivettes",15,7,8,47.2117363932221,-1.54988602493776,2023-06-19T14:29:16+00:00,OPEN,
