stop_id,stop_name,stop_lat,stop_lon,ligne
ABCH,Abbé Chérel,47.21010098,-1.65221959,[{'numLigne': '81'}]
ABDU,Abel Durand,47.22007197,-1.60325398,"[{'numLigne': 'C20'}, {'numLigne': 'LO'}]"
ABOL,Adrienne Bolland,47.26791335,-1.47684627,[{'numLigne': '77'}]
ACHA,Angle Chaillou,47.26977722,-1.57185211,"[{'numLigne': '126'}, {'numLigne': '96'}]"
ADBO,Audubon,47.21393087,-1.72309726,"[{'numLigne': '101'}, {'numLigne': '141'}, {'numLigne': '91'}, {'numLigne': 'E1'}]"
ADEL,Aimé Delrue,47.20899731,-1.55009787,"[{'numLigne': '2'}, {'numLigne': '3'}, {'numLigne': '3B'}, {'numLigne': 'LC'}]"
ADPI,Avenue des Pins,47.25326073,-1.59670445,[{'numLigne': '79'}]
AECL,Aéroclub,47.15926556,-1.59825258,"[{'numLigne': '98'}, {'numLigne': 'NA'}]"
AEPO,D2A - Aéroport,47.15686225,-1.59741579,"[{'numLigne': '38'}, {'numLigne': '98'}]"
AESP,Aérospatiale,47.16135928,-1.58704949,[{'numLigne': '38'}]
AFRA,Anatole France,47.22367415,-1.57152434,"[{'numLigne': '26'}, {'numLigne': '3B'}, {'numLigne': '54'}]"
AGBE,L'Angebert,47.14054089,-1.45576884,[{'numLigne': '47'}]
AGDR,Angebardière,47.1694326,-1.50522732,"[{'numLigne': '47'}, {'numLigne': '97'}]"
AGVI,Angevinière,47.24593679,-1.61071504,"[{'numLigne': '119'}, {'numLigne': '129'}, {'numLigne': '139'}, {'numLigne': '159'}, {'numLigne': '189'}, {'numLigne': '3B'}, {'numLigne': '50'}, {'numLigne': '54'}]"
AIBU,Airbus,47.15798559,-1.59089584,[{'numLigne': '38'}]
AIGU,Aiguillon,47.25456226,-1.49652938,"[{'numLigne': '127'}, {'numLigne': '147'}, {'numLigne': '157'}, {'numLigne': '80'}, {'numLigne': '87'}]"
ALCH,Champ de l'Alouette,47.28282777,-1.5800863,[{'numLigne': 'LCO'}]
ALDE,Allende,47.17525341,-1.62320432,"[{'numLigne': '36'}, {'numLigne': '78'}, {'numLigne': '88'}, {'numLigne': 'E8'}]"
ALNE,Aulne,47.27633116,-1.6383702,"[{'numLigne': '179'}, {'numLigne': '79'}]"
AMCA,Armoricaine,47.25827307,-1.64747915,"[{'numLigne': '139'}, {'numLigne': '149'}, {'numLigne': '159'}, {'numLigne': '169'}, {'numLigne': '69'}]"
AMER,Américains,47.23612591,-1.5682026,"[{'numLigne': '12'}, {'numLigne': 'C2'}, {'numLigne': 'LO'}]"
AMPE,Ampère,47.26076619,-1.55333274,"[{'numLigne': '116'}, {'numLigne': '66'}, {'numLigne': '86'}, {'numLigne': 'E5'}]"
ANGE,Les Anges,47.27520418,-1.63709529,"[{'numLigne': '179'}, {'numLigne': '79'}]"
ANTO,Antons,47.25784245,-1.62336864,"[{'numLigne': '119'}, {'numLigne': '129'}, {'numLigne': '139'}, {'numLigne': '189'}, {'numLigne': '89'}]"
APAV,Apave,47.22539944,-1.64741053,[{'numLigne': '93'}]
APER,Ampère,47.30218726,-1.50789091,"[{'numLigne': '85'}, {'numLigne': '95'}]"
APRE,Ambroise Paré,47.22908256,-1.60841337,"[{'numLigne': '111'}, {'numLigne': '59'}, {'numLigne': 'C6'}]"
AQUI,Aquitaine,47.20976487,-1.61491975,"[{'numLigne': '23'}, {'numLigne': '59'}, {'numLigne': '81'}, {'numLigne': '91'}]"
ARAG,Arago,47.30355064,-1.50481141,"[{'numLigne': '85'}, {'numLigne': '95'}]"
ARBO,Arbois,47.25844466,-1.58200407,"[{'numLigne': '109'}, {'numLigne': '59'}]"
ARCA,Arcades,47.21187953,-1.65288093,"[{'numLigne': '50'}, {'numLigne': '91'}, {'numLigne': 'NBI'}]"
ARGO,Argonautes,47.30242198,-1.48182549,"[{'numLigne': '85'}, {'numLigne': '95'}]"
ARMO,Armorique,47.27147205,-1.44534382,"[{'numLigne': '105'}, {'numLigne': '127'}, {'numLigne': '137'}]"
AROR,Armor,47.23107086,-1.63183278,"[{'numLigne': '50'}, {'numLigne': '93'}, {'numLigne': 'C3'}]"
ATAR,Antarès,47.28171763,-1.45970027,[{'numLigne': '77'}]
AUCP,La Chapelle Aulnay,47.30814501,-1.54248265,"[{'numLigne': '86'}, {'numLigne': '96'}]"
AUFR,L'Aufrère,47.16804829,-1.52507017,[{'numLigne': '33'}]
AUGE,Augé,47.19496578,-1.51736648,[{'numLigne': '30'}]
AURR,Aurore,47.26487732,-1.58088793,[{'numLigne': '59'}]
AVEN,Aveneaux,47.23393311,-1.6297971,[{'numLigne': '50'}]
BABI,Barbinière,47.15985795,-1.48169668,[{'numLigne': '47'}]
BAGA,Bagatelle,47.24354938,-1.61992939,[{'numLigne': '50'}]
BAIE,Babinière,47.25929482,-1.54621402,[{'numLigne': '66'}]
BAIR,Bel Air,47.22578752,-1.55964729,"[{'numLigne': '12'}, {'numLigne': '23'}, {'numLigne': '2B'}, {'numLigne': 'C2'}, {'numLigne': 'LO'}]"
BALI,Balinière,47.18598939,-1.55397615,"[{'numLigne': '2'}, {'numLigne': '3'}, {'numLigne': '38'}, {'numLigne': '3B'}]"
BANS,Bois des Anses,47.24669068,-1.49490701,"[{'numLigne': '127'}, {'numLigne': '137'}, {'numLigne': '147'}, {'numLigne': '157'}, {'numLigne': '87'}, {'numLigne': 'C7'}]"
BARR,La Barre,47.30881395,-1.38257905,[{'numLigne': '67'}]
BAST,Bastille,47.1790361,-1.59693154,"[{'numLigne': '36'}, {'numLigne': '3B'}, {'numLigne': '78'}, {'numLigne': '88'}]"
BATI,Batignolles,47.25560851,-1.52993977,"[{'numLigne': '1B'}, {'numLigne': '75'}, {'numLigne': 'C6'}, {'numLigne': 'LC'}]"
BAUG,Baugerie,47.20378578,-1.52024833,"[{'numLigne': '152'}, {'numLigne': '162'}, {'numLigne': 'C9'}]"
BAVO,Basse Orévière,47.22040673,-1.65893741,[{'numLigne': '71'}]
BBON,Boisbonne,47.28686058,-1.50837641,[{'numLigne': '75'}]
BCES,Bois Cesbron,47.26096422,-1.62426144,"[{'numLigne': '119'}, {'numLigne': '129'}, {'numLigne': '139'}, {'numLigne': '189'}, {'numLigne': '89'}]"
BCGA,Bd Charles Gautier,47.22282517,-1.60702642,"[{'numLigne': '59'}, {'numLigne': 'C3'}]"
BCHE,Basse Chênaie,47.24117164,-1.50919095,"[{'numLigne': '12'}, {'numLigne': '127'}, {'numLigne': '137'}, {'numLigne': '87'}, {'numLigne': 'C7'}]"
BCNY,Bas-Chantenay,47.19821371,-1.58922286,"[{'numLigne': '10'}, {'numLigne': '81'}, {'numLigne': 'C1'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}, {'numLigne': 'N2'}]"
BCOI,Branchoire,47.21799656,-1.60336553,"[{'numLigne': '11'}, {'numLigne': '23'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}]"
BCTT,Blanchet,47.17130941,-1.54326782,"[{'numLigne': '104'}, {'numLigne': 'C4'}]"
BDAN,Bd des Anglais,47.22671207,-1.58285255,"[{'numLigne': '10'}, {'numLigne': '54'}]"
